,DatumFileBegin,TijdFileBegin,FileDuur,RouteOms,OorzaakGronddetail,nr_accidents,weekday
8181,2016-09-27,0 days 16:46:00,6.15,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8191,2016-09-27,0 days 17:45:00,4.133,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8199,2016-09-28,0 days 17:31:00,19.117,A2,Spitsfile (geen oorzaak gemeld),11795,Wednesday
8205,2016-09-26,0 days 08:33:00,8.117,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8207,2016-09-26,0 days 08:49:00,2.033,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8214,2016-09-29,0 days 16:51:00,7.217,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8220,2016-09-27,0 days 16:29:00,4.9,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8221,2016-09-27,0 days 09:21:00,8.95,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8222,2016-09-27,0 days 16:17:00,14.067,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8254,2016-09-23,0 days 17:24:00,4.1,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8260,2016-09-23,0 days 17:24:00,9.117,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8262,2016-09-26,0 days 07:03:00,40.1,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8264,2016-09-15,0 days 07:41:00,77.467,A2,Spitsfile (geen oorzaak gemeld),11795,Thursday
8297,2016-09-23,0 days 17:11:00,4.167,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8302,2016-09-26,0 days 09:04:00,3.017,A2,Spitsfile (geen oorzaak gemeld),11795,Monday
8316,2016-09-02,0 days 18:10:00,10.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
8410,2016-09-27,0 days 09:36:00,17.9,A2,Spitsfile (geen oorzaak gemeld),11795,Tuesday
8437,2016-09-09,0 days 16:55:00,10.567,A2,Spitsfile (geen oorzaak gemeld),11795,Friday
